state,x,y
Alabama,139,-77
Alaska,-203,-217
Arizona,-112,-111
Arkansas,41,-42
California,-294,-109
Colorado,-123,-94
Connecticut,201,-52
Delaware,199,-21
Florida,215,-133
Georgia,182,-75
Hawaii,-279,-215
Idaho,-189,21
Illinois,41,32
Indiana,83,32
Iowa,-6,53
Kansas,-98,-35
Kentucky,92,-2
Louisiana,49,-100
Maine,253,91
Maryland,131,-15
Massachusetts,236,-51
Michigan,126,72
Minnesota,-34,80
Mississippi,78,-76
Missouri,-56,-26
Montana,-183,83
Nebraska,-97,41
Nevada,-197,-8
New Hampshire,223,93
New Jersey,225,-9
New Mexico,-106,-78
New York,174,84
North Carolina,164,-17
North Dakota,-44,125
Ohio,114,50
Oklahoma,-56,-78
Oregon,-248,48
Pennsylvania,123,23
Rhode Island,252,-50
South Carolina,157,-54
South Dakota,-44,83
Tennessee,79,-34
Texas,-81,-106
Utah,-148,-70
Vermont,120,94
Virginia,146,13
Washington,-238,93
West Virginia,129,34
Wisconsin,-16,67
Wyoming,-119,50
